Phase,Soil,Comp_Treatment,Rep,Pot,Individual,Species,Biomass,b_count,v_count,Tillers,Total_plants,Cheat_pct,Vent_pct
1,BRTE,0,3,152,1,BRTE,0.2972,1,0,4,1,100,0
1,BRTE,0,3,153,1,BRTE,0.379,1,0,6,1,100,0
1,BRTE,0,2,157,1,BRTE,0.0284,1,1,1,2,50,50
1,BRTE,0,1,158,1,BRTE,0.3322,2,0,3,2,100,0
1,BRTE,0,1,159,1,BRTE,0.0105,1,1,1,2,50,50
1,BRTE,0,2,160,1,BRTE,0.3555,1,0,3,1,100,0
1,BRTE,0,2,161,1,BRTE,0.2404,1,0,2,1,100,0
1,BRTE,0,2,162,1,BRTE,0.112,1,0,1,1,100,0
1,BRTE,0,2,163,1,BRTE,0.3469,1,0,6,1,100,0
1,BRTE,0,2,164,1,BRTE,0.373,1,0,5,1,100,0
1,BRTE,0,2,165,1,BRTE,0.1648,1,0,4,1,100,0
1,BRTE,0,2,166,1,BRTE,0.2798,1,0,4,1,100,0
1,BRTE,0,2,167,1,BRTE,0.1427,1,0,2,1,100,0
1,BRTE,0,2,168,1,BRTE,0.3067,1,0,2,1,100,0
1,BRTE,2,2,114,1,BRTE,0.0762,2,5,2,7,28.57142857,71.42857143
1,BRTE,2,2,114,2,BRTE,0.0178,2,5,1,7,28.57142857,71.42857143
1,BRTE,2,2,413,1,BRTE,0.0784,5,2,3,7,71.42857143,28.57142857
1,BRTE,2,2,413,2,BRTE,0.0187,5,2,1,7,71.42857143,28.57142857
1,BRTE,4,1,116,1,BRTE,0.066,2,13,1,15,13.33333333,86.66666667
1,BRTE,4,1,116,2,BRTE,0.0825,2,13,1,15,13.33333333,86.66666667
1,BRTE,4,1,425,1,BRTE,0.0613,2,13,1,15,13.33333333,86.66666667
1,BRTE,4,1,425,2,BRTE,0.0827,2,13,2,15,13.33333333,86.66666667
1,BRTE,5,1,119,1,BRTE,0.2163,2,0,3,2,100,0
1,BRTE,5,1,119,2,BRTE,0.1091,2,0,1,2,100,0
1,BRTE,5,2,120,1,BRTE,0.1393,2,0,2,2,100,0
1,BRTE,5,2,120,2,BRTE,0.1914,2,0,3,2,100,0
1,BRTE,5,3,121,1,BRTE,0.1138,2,1,1,3,66.66666667,33.33333333
1,BRTE,5,3,121,2,BRTE,0.1774,2,1,1,3,66.66666667,33.33333333
1,BRTE,5,1,432,1,BRTE,0.2254,2,0,3,2,100,0
1,BRTE,5,1,432,2,BRTE,0.1116,2,0,1,2,100,0
1,BRTE,5,2,434,1,BRTE,0.1448,2,0,2,2,100,0
1,BRTE,5,2,434,2,BRTE,0.197,2,0,3,2,100,0
1,BRTE,5,3,437,1,BRTE,0.1177,2,1,3,3,66.66666667,33.33333333
1,BRTE,5,3,437,2,BRTE,0.1851,2,1,2,3,66.66666667,33.33333333
1,BRTE,6,1,122,1,BRTE,0.1051,2,2,1,4,50,50
1,BRTE,6,1,122,2,BRTE,0.3354,2,2,5,4,50,50
1,BRTE,6,2,123,1,BRTE,0.3465,2,2,3,4,50,50
1,BRTE,6,2,123,2,BRTE,0.0705,2,2,1,4,50,50
1,BRTE,6,3,124,1,BRTE,0.0821,2,2,3,4,50,50
1,BRTE,6,3,124,2,BRTE,0.1099,2,2,3,4,50,50
1,BRTE,6,1,440,1,BRTE,0.0997,2,2,1,4,50,50
1,BRTE,6,1,440,2,BRTE,0.3766,2,2,3,4,50,50
1,BRTE,6,2,444,1,BRTE,0.3541,2,2,3,4,50,50
1,BRTE,6,2,444,2,BRTE,0.0722,2,2,1,4,50,50
1,BRTE,6,3,446,1,BRTE,0.086,2,1,1,3,66.66666667,33.33333333
1,BRTE,6,3,446,2,BRTE,0.1144,2,1,1,3,66.66666667,33.33333333
1,BRTE,7,1,125,1,BRTE,0.1707,2,4,1,6,33.33333333,66.66666667
1,BRTE,7,1,125,2,BRTE,0.0946,2,4,2,6,33.33333333,66.66666667
1,BRTE,7,2,126,1,BRTE,0.1519,2,4,3,6,33.33333333,66.66666667
1,BRTE,7,2,126,2,BRTE,0.0681,2,4,3,6,33.33333333,66.66666667
1,BRTE,7,3,127,1,BRTE,0.0458,3,5,1,8,37.5,62.5
1,BRTE,7,3,127,2,BRTE,0.2196,3,5,4,8,37.5,62.5
1,BRTE,7,3,127,3,BRTE,0.0567,3,5,1,8,37.5,62.5
1,BRTE,7,1,449,1,BRTE,0.161,2,4,2,6,33.33333333,66.66666667
